"filename", "language", "Dart", "comment", "blank", "total"
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\amount_widget.dart", "Dart", 17, 0, 4, 21
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\animated_custom_dialog.dart", "Dart", 55, 0, 5, 60
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\app_bar.dart", "Dart", 27, 0, 5, 32
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\custom_app_bar.dart", "Dart", 54, 0, 9, 63
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\custom_button.dart", "Dart", 48, 0, 4, 52
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\custom_exit_card.dart", "Dart", 40, 0, 8, 48
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\custom_expanded_app_bar.dart", "Dart", 51, 1, 7, 59
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\custom_image.dart", "Dart", 20, 0, 4, 24
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\custom_loader.dart", "Dart", 62, 0, 10, 72
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\custom_search_text_field.dart", "Dart", 100, 0, 9, 109
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\custom_search_widget.dart", "Dart", 214, 51, 33, 298
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\custom_slider\carousel_controller.dart", "Dart", 107, 24, 22, 153
