Date : 2024-01-22 12:21:42
Directory : g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib
Total : 428 files,  35421 codes, 373 comments, 5905 blanks, all 41699 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        428 |     35,421 |        373 |      5,905 |     41,699 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                   |        428 |     35,421 |        373 |      5,905 |     41,699 |
| . (Files)                                                                                                                                                                                           |          2 |        292 |          4 |         20 |        316 |
| basewidget                                                                                                                                                                                          |         40 |      2,972 |        196 |        474 |      3,642 |
| basewidget (Files)                                                                                                                                                                                  |         35 |      2,403 |         57 |        362 |      2,822 |
| basewidget\custom_slider                                                                                                                                                                            |          5 |        569 |        139 |        112 |        820 |
| data                                                                                                                                                                                                |          6 |        310 |          2 |         42 |        354 |
| data\datasource                                                                                                                                                                                     |          3 |        270 |          2 |         27 |        299 |
| data\datasource\remote                                                                                                                                                                              |          3 |        270 |          2 |         27 |        299 |
| data\datasource\remote\dio                                                                                                                                                                          |          2 |        190 |          0 |         24 |        214 |
| data\datasource\remote\exception                                                                                                                                                                    |          1 |         80 |          2 |          3 |         85 |
| data\model                                                                                                                                                                                          |          3 |         40 |          0 |         15 |         55 |
| features                                                                                                                                                                                            |        356 |     30,626 |        129 |      5,192 |     35,947 |
| features\address                                                                                                                                                                                    |         13 |      1,151 |          0 |        152 |      1,303 |
| features\address\controllers                                                                                                                                                                        |          1 |        207 |          0 |         36 |        243 |
| features\address\domain                                                                                                                                                                             |          5 |        205 |          0 |         29 |        234 |
| features\address\domain\model                                                                                                                                                                       |          2 |         88 |          0 |          7 |         95 |
| features\address\domain\repo                                                                                                                                                                        |          2 |        115 |          0 |         21 |        136 |
